coupon,isin,issue_date,maturity_date,date,close_price
CAN 2.75 Mar 30,CA135087S471,10/3/2024,3/1/2030,1/13/2026,99.50
CAN 2.75 Mar 30,CA135087S471,10/3/2024,3/1/2030,1/14/2026,99.66
CAN 2.75 Mar 30,CA135087S471,10/3/2024,3/1/2030,1/15/2026,99.66
CAN 2.75 Mar 30,CA135087S471,10/3/2024,3/1/2030,1/16/2026,99.61
CAN 2.75 Sep 30,CA135087T388,4/10/2025,9/1/2030,1/5/2026,99.16
CAN 2.75 Sep 30,CA135087T388,4/10/2025,9/1/2030,1/6/2026,99.08
CAN 2.75 Sep 30,CA135087T388,4/10/2025,9/1/2030,1/7/2026,99.25
CAN 2.75 Sep 30,CA135087T388,4/10/2025,9/1/2030,1/8/2026,99.17
CAN 2.75 Sep 30,CA135087T388,4/10/2025,9/1/2030,1/9/2026,99.26
CAN 2.75 Sep 30,CA135087T388,4/10/2025,9/1/2030,1/12/2026,99.21
CAN 2.75 Sep 30,CA135087T388,4/10/2025,9/1/2030,1/13/2026,99.18
CAN 2.75 Sep 30,CA135087T388,4/10/2025,9/1/2030,1/14/2026,99.35
CAN 2.75 Sep 30,CA135087T388,4/10/2025,9/1/2030,1/15/2026,99.36
CAN 2.75 Sep 30,CA135087T388,4/10/2025,9/1/2030,1/16/2026,99.31
